Frame,Time (Seconds),X,Y,Z,X,Y,Z,W
1220,12.2,-2.098203,0.992535,0.842452,-0.90392,0.034288,-0.24312,0.350208
1221,12.21,-2.095887,0.992485,0.836537,-0.904421,0.036015,-0.240325,0.350669
1222,12.22,-2.094459,0.992354,0.831357,-0.901038,0.035474,-0.245996,0.355469
1223,12.23,-2.092582,0.992317,0.826387,-0.899396,0.035445,-0.251248,0.355955
1224,12.24,-2.090583,0.991907,0.821362,-0.89848,0.032877,-0.254981,0.35586
1225,12.25,-2.089166,0.991652,0.816792,-0.89842,0.031047,-0.268259,0.346286
1226,12.26,-2.086776,0.991948,0.811282,-0.896003,0.031336,-0.264433,0.355348
1227,12.27,-2.08507,0.991781,0.806527,-0.893451,0.028877,-0.269629,0.358066
1228,12.28,-2.082961,0.991583,0.801095,-0.893292,0.028085,-0.272054,0.356689
1229,12.29,-2.081317,0.991266,0.796408,-0.892548,0.026275,-0.286054,0.347622
1230,12.3,-2.078864,0.991408,0.790735,-0.890633,0.025618,-0.280856,0.356703
1231,12.31,-2.077065,0.991184,0.786048,-0.889172,0.023187,-0.286007,0.35642
1232,12.32,-2.075061,0.990959,0.78057,-0.885177,0.020904,-0.29328,0.360571
1233,12.33,-2.07303,0.990678,0.775289,-0.883501,0.018965,-0.298567,0.360449
1234,12.34,-2.071313,0.990051,0.770831,-0.885673,0.015677,-0.309973,0.345332
1235,12.35,-2.068777,0.989946,0.764973,-0.883919,0.01469,-0.303744,0.355262
1236,12.36,-2.067088,0.98932,0.760084,-0.883299,0.011413,-0.319708,0.342694
1237,12.37,-2.06503,0.988833,0.754742,-0.881364,0.010017,-0.325859,0.341927
1238,12.38,-2.063112,0.988394,0.748854,-0.881439,0.006575,-0.32919,0.338609
1239,12.39,-2.060432,0.987785,0.743308,-0.880744,0.009419,-0.330927,0.338657
1240,12.4,-2.05827,0.98699,0.737838,-0.878734,0.008636,-0.335525,0.339375
1241,12.41,-2.056248,0.98645,0.732154,-0.877322,0.007051,-0.340241,0.338369
1242,12.42,-2.054367,0.986189,0.726551,-0.87563,0.00425,-0.343533,0.339468
1243,12.43,-2.05241,0.985641,0.720673,-0.874411,0.002564,-0.346393,0.339722
1244,12.44,-2.050538,0.985059,0.714743,-0.87345,0.000888,-0.349659,0.338854
1245,12.45,-2.048624,0.984437,0.708801,-0.872064,-0.001081,-0.354022,0.337894
1246,12.46,-2.046714,0.983768,0.702759,-0.871062,-0.00339,-0.357485,0.336814
1247,12.47,-2.044756,0.983184,0.696667,-0.86948,-0.005705,-0.36133,0.336769
1248,12.48,-2.0428,0.982527,0.690588,-0.868541,-0.007766,-0.365568,0.334569
